chord_id,c1_n1,c1_n2,c1_n3,c1_n4,c2_n1,c2_n2,c2_n3,c2_n4,c3_n1,c3_n2,c3_n3,c3_n4,c4_n1,c4_n2,c4_n3,c4_n4,pref_trial1,pref_trial2,pref_trial3,pref_trial4,pref_trial5
0,58,62,67,70,59,60,62,63,58,63,68,72,61,64,67,70,1,1,1,1,1
1,58,63,67,70,57,62,67,71,59,61,66,67,63,68,71,76,1,1,1,1,1
2,58,61,64,69,55,57,60,62,52,56,61,63,48,52,53,58,-1,-1,-1,-1,-1
3,58,63,67,69,61,65,69,70,65,70,74,75,62,64,67,72,1,1,1,1,1
4,58,62,66,70,54,59,63,64,59,61,65,68,61,64,69,71,1,1,1,1,1
5,58,60,65,66,59,61,65,66,63,67,69,71,61,66,71,75,-1,-1,-1,-1,-1
6,58,61,64,66,60,65,68,69,63,65,67,71,58,63,64,68,-1,-1,-1,-1,-1
7,58,63,67,70,53,54,57,59,54,58,62,63,59,63,65,66,-1,-1,-1,-1,-1
8,58,62,63,67,60,65,67,68,60,62,64,66,60,64,68,69,0,0,0,0,0
9,58,59,64,69,62,64,65,69,60,65,66,69,57,62,63,66,-1,-1,-1,-1,-1
10,58,61,63,66,54,55,58,59,54,59,62,65,57,62,66,71,-1,-1,-1,-1,-1
11,58,59,62,66,57,60,65,66,56,60,64,65,52,55,60,61,-1,-1,-1,-1,-1
12,58,63,64,69,61,63,64,66,65,68,73,74,69,71,74,76,1,1,1,1,1
13,58,59,62,64,62,67,68,71,63,65,69,70,67,69,71,72,-1,-1,-1,-1,-1
14,58,59,64,68,56,61,63,64,53,54,55,60,57,61,63,68,-1,-1,-1,-1,-1
15,58,61,64,65,54,55,58,60,59,63,68,70,56,61,64,67,0,0,0,0,0
16,58,63,67,71,53,58,60,63,49,54,57,62,52,56,59,62,-1,-1,-1,-1,-1
17,58,63,65,68,61,63,66,67,64,69,70,74,62,67,69,73,-1,-1,-1,-1,-1
18,58,63,66,71,63,67,68,69,64,67,72,77,63,66,68,71,-1,-1,-1,-1,-1
19,58,62,64,69,63,67,70,75,63,64,67,68,63,67,68,72,0,0,0,0,0
20,58,61,64,67,62,66,68,69,62,67,69,73,60,62,64,66,-1,-1,-1,-1,-1
21,58,62,66,70,57,58,61,66,55,57,62,65,52,54,58,61,1,1,1,1,1
22,58,63,64,69,53,54,57,60,50,55,57,62,48,49,51,52,-1,-1,-1,-1,-1
23,58,62,64,66,61,65,66,69,66,67,69,74,61,62,66,67,-1,-1,-1,-1,-1
24,58,59,64,69,62,67,69,71,66,67,71,72,67,68,71,73,-1,-1,-1,-1,-1
25,58,63,65,67,54,55,56,61,58,59,60,63,56,61,66,70,0,0,0,0,0
26,58,62,66,68,54,57,60,62,52,56,60,64,47,52,56,61,0,0,0,0,0
27,58,61,65,70,59,63,64,69,55,60,62,64,54,55,57,61,0,0,0,0,0
28,58,59,61,66,63,65,68,72,63,66,68,69,60,61,63,66,0,0,0,0,0
29,58,61,63,68,53,57,58,60,49,53,56,61,50,52,53,54,1,1,1,1,1
30,58,60,65,66,60,65,67,70,64,65,70,72,69,71,72,74,-1,-1,-1,-1,-1
31,58,63,64,65,63,64,69,70,60,62,66,70,63,65,67,70,1,1,1,1,1
32,58,62,63,65,60,64,67,68,57,58,59,61,59,63,66,69,-1,-1,-1,-1,-1
33,58,63,67,68,62,67,70,72,65,70,74,77,64,68,70,74,-1,-1,-1,-1,-1
34,58,60,65,70,63,65,67,70,60,63,68,70,55,58,60,64,1,1,1,1,1
35,58,60,64,67,53,56,60,65,52,53,57,60,50,54,59,62,0,0,0,0,0
36,58,60,65,66,62,64,67,69,67,69,74,75,71,76,81,83,-1,-1,-1,-1,-1
37,58,63,65,70,62,63,67,69,61,63,68,73,62,67,69,71,1,1,1,1,1
38,58,59,60,61,62,63,68,73,62,63,68,69,60,62,63,67,1,1,1,1,1
39,58,61,63,66,59,63,67,68,64,67,72,75,65,66,67,72,-1,-1,-1,-1,-1
40,58,63,66,68,62,65,66,70,67,71,75,76,62,63,68,70,0,0,0,0,0
41,58,59,61,65,57,61,64,69,54,57,59,62,57,62,65,69,1,1,1,1,1
42,58,63,67,69,61,65,66,69,56,61,64,68,51,54,57,61,0,0,0,0,0
43,58,60,63,68,60,61,63,65,61,62,67,72,64,69,74,78,-1,-1,-1,-1,-1
44,58,59,62,63,55,56,57,59,56,61,66,68,61,64,65,69,-1,-1,-1,-1,-1
45,58,59,60,61,56,57,58,60,51,56,58,59,56,59,63,66,-1,-1,-1,-1,-1
46,58,59,62,65,56,57,61,62,60,64,66,70,58,63,66,68,-1,-1,-1,-1,-1
47,58,60,63,64,55,56,59,62,57,62,64,69,58,62,64,65,1,1,1,1,1
48,58,59,60,63,57,62,66,68,59,64,65,68,55,60,63,64,-1,-1,-1,-1,-1
49,58,59,63,66,63,66,70,72,68,72,74,77,68,69,72,77,0,0,0,0,0
50,58,60,63,64,53,54,56,57,48,50,51,53,53,55,57,61,-1,-1,-1,-1,-1
51,58,60,64,65,58,63,68,69,62,67,71,73,57,62,64,68,-1,-1,-1,-1,-1
52,58,62,64,68,60,64,68,70,65,70,74,75,67,71,73,75,1,1,1,1,1
53,58,60,65,68,61,62,67,70,59,61,66,70,63,65,68,71,1,1,1,1,1
54,58,59,63,66,55,57,59,64,55,57,61,65,55,59,63,65,-1,-1,-1,-1,-1
55,58,60,64,68,62,63,64,69,57,59,61,66,54,55,59,64,0,0,0,0,0
56,58,60,63,66,58,61,62,63,61,62,66,68,60,61,64,69,-1,-1,-1,-1,-1
57,58,62,66,70,56,61,65,70,51,53,56,61,48,53,55,60,-1,-1,-1,-1,-1
58,58,62,66,70,54,56,59,63,55,60,62,64,55,57,60,64,-1,-1,-1,-1,-1
59,58,59,62,66,54,57,62,64,56,59,62,63,56,61,63,66,-1,-1,-1,-1,-1
60,58,59,63,64,60,61,64,69,62,65,66,71,57,59,62,66,0,0,0,0,0
61,58,62,66,71,63,68,71,76,60,65,69,72,57,61,63,64,1,1,1,1,1
63,58,59,61,64,59,60,61,63,55,58,59,60,58,61,65,67,1,1,1,1,1
70,58,62,64,66,63,66,67,72,66,69,72,76,71,76,80,83,1,1,1,1,1
71,58,63,65,67,60,63,66,70,65,69,72,73,63,66,70,75,1,1,1,1,1
73,58,59,60,65,61,62,66,70,60,64,65,68,57,62,64,67,1,1,1,1,1
75,58,59,61,65,56,57,61,63,51,53,56,60,46,50,55,58,1,1,1,1,1
76,58,60,64,67,55,60,61,64,52,57,60,62,57,60,62,66,1,1,1,1,1
77,58,61,64,69,59,64,68,69,62,65,68,73,57,60,65,69,0,0,0,0,0
84,58,61,64,66,59,60,64,68,61,66,69,73,65,69,73,75,1,1,1,1,1
91,58,63,64,67,57,62,66,69,62,67,68,72,58,61,65,67,1,1,1,1,1
92,58,59,60,65,59,62,64,66,59,63,68,70,57,60,62,66,0,0,0,0,0
93,58,63,64,66,63,64,66,71,58,63,67,68,53,56,59,62,0,0,0,0,0
95,58,60,61,66,54,58,63,68,59,63,68,73,62,66,69,74,1,1,1,1,1
100,58,59,61,66,54,56,61,62,49,51,55,60,49,50,55,58,0,0,0,0,0
102,58,60,61,63,53,55,56,58,58,62,65,67,54,58,63,64,1,1,1,1,1
103,58,60,63,66,58,62,65,69,53,58,62,67,57,59,60,65,1,1,1,1,1
105,58,63,68,72,56,58,63,65,56,59,62,63,55,57,60,63,1,1,1,1,1
107,58,60,63,68,55,57,62,66,52,57,62,64,49,54,55,58,0,0,0,0,0
108,58,60,64,65,61,63,65,67,59,63,68,70,56,58,61,64,1,1,1,1,1
110,58,62,65,70,54,55,59,61,55,57,60,64,58,61,62,66,1,1,1,1,1
112,58,62,64,65,58,62,64,66,61,62,64,67,62,65,66,69,1,1,1,1,1
113,58,61,62,66,58,61,63,65,56,58,63,66,55,60,65,67,0,0,0,0,0
114,58,59,62,64,55,60,61,63,51,53,56,57,47,50,55,57,0,0,0,0,0
117,58,61,63,68,63,67,69,71,59,62,65,67,57,59,62,65,1,1,1,1,1
118,58,63,65,67,60,64,65,70,62,63,64,65,60,62,65,69,0,0,0,0,0
124,58,59,60,65,54,59,60,62,53,55,58,63,56,58,62,66,1,1,1,1,1
125,58,61,65,68,56,61,64,69,53,54,56,60,54,59,62,63,0,0,0,0,0
126,58,60,63,65,61,62,66,69,65,68,72,74,70,72,73,75,0,0,0,0,0
127,58,59,62,66,59,64,69,72,64,67,71,76,65,69,73,78,0,0,0,0,0
136,58,59,63,67,62,64,67,69,60,61,64,68,61,64,66,70,0,0,0,0,0
157,58,61,63,65,62,63,65,70,63,66,71,73,64,65,67,68,0,0,0,0,0
160,58,63,64,65,56,60,64,66,55,59,64,69,57,60,64,65,0,0,0,0,0
168,58,59,60,64,55,60,63,66,56,57,61,66,53,56,60,61,0,0,0,0,0
