pattern_plain,feature,op,threshold,n,mean_rating,base_rate,shift_vs_base,like_frac,notsure_frac,dislike_frac,lean,spearman_rho
the tightest interval between any two notes is high (> 1),min_interval,>,1.0,32,0.125,-0.355,0.48,0.469,0.188,0.344,LIKE,0.15
the most consonant interval inside the final chord is high (> 1),c3_icmin,>,1.0,155,-0.181,-0.355,0.174,0.316,0.187,0.497,LIKE,0.109
the melody's 8th note (pitch height) is high (> 70),m7,>,70.0,220,-0.195,-0.355,0.159,0.282,0.241,0.477,LIKE,0.184
the net rise or fall of the second-lowest voice is high (> 0),v1_drift,>,0.0,215,-0.205,-0.355,0.15,0.284,0.228,0.488,LIKE,0.162
more than 3 repetitions of the single most-repeated pitch (4 or more),pc_max,>,3.0,102,-0.5,-0.355,-0.145,0.176,0.147,0.676,DISLIKE,-0.117
the melody's 9th note (pitch height) is high (> 70),m8,>,70.0,221,-0.213,-0.355,0.142,0.281,0.226,0.493,LIKE,0.181
the melody's 8th note (pitch height) is low (≤ 70),m7,<=,70.0,259,-0.49,-0.355,-0.135,0.181,0.147,0.672,DISLIKE,0.184
the melody's lowest note is high (> 68),melo_low,>,68.0,218,-0.22,-0.355,0.135,0.284,0.211,0.505,LIKE,0.151
the melody's 7th note (pitch height) is high (> 70),m6,>,70.0,220,-0.223,-0.355,0.132,0.264,0.25,0.486,LIKE,0.17
how widely chord 1 spans within a single octave is high (> 9),c0_pcspread,>,9.0,144,-0.229,-0.355,0.126,0.271,0.229,0.5,LIKE,0.099
the net rise or fall of the second-lowest voice is low (≤ 0),v1_drift,<=,0.0,264,-0.477,-0.355,-0.122,0.182,0.159,0.659,DISLIKE,0.162
the melody's 9th note (pitch height) is low (≤ 70),m8,<=,70.0,258,-0.477,-0.355,-0.122,0.182,0.159,0.659,DISLIKE,0.181
the net pitch change from the first chord to the last is high (> 0),total_drift,>,0.0,227,-0.233,-0.355,0.121,0.273,0.22,0.507,LIKE,0.152
more than 3 semitone clashes (4 or more),clash_ic1,>,3.0,183,-0.47,-0.355,-0.115,0.186,0.158,0.656,DISLIKE,-0.148
the melody's 7th note (pitch height) is low (≤ 70),m6,<=,70.0,259,-0.467,-0.355,-0.112,0.197,0.139,0.664,DISLIKE,0.17
