pattern,direction,n_matching,mean_rating,mean_rest,wracc,cliffs_delta,ci_lo,ci_hi,search_p,aliases,survives
clash_le1 <= 2.00 AND v1_drift > -3.00,toward LIKE,295,-0.1119,-0.5386,0.0993,0.2523,0.1776,0.3262,0.0005,,True
clash_ic1 <= 3.00 AND v1_drift > -3.00,toward LIKE,329,-0.1398,-0.5499,0.0993,0.2420,0.1710,0.3094,0.0005,,True
clash_ic1 <= 3.00 AND total_drift > -2.75,toward LIKE,331,-0.1420,-0.5501,0.0990,0.2415,0.1738,0.3111,0.0005,,True
clash_le1 <= 2.00 AND total_drift > -2.75,toward LIKE,297,-0.1212,-0.5348,0.0965,0.2433,0.1685,0.3104,0.0005,,True
clash_ic1 <= 3.00 AND n15 > 64.00,toward LIKE,325,-0.1446,-0.5432,0.0961,0.2330,0.1608,0.3084,0.0005,,True
clash_ic1 <= 3.00 AND c2_span > 8.00,toward LIKE,316,-0.1392,-0.5393,0.0956,0.2413,0.1759,0.3079,0.0005,,True
n15 > 64.00 AND c2_span > 8.00,toward LIKE,305,-0.1311,-0.5354,0.0954,0.2446,0.1690,0.3122,0.0005,,True
c2_span > 8.00 AND n14 > 61.00,toward LIKE,310,-0.1355,-0.5367,0.0952,0.2450,0.1765,0.3204,0.0005,,True
clash_le1 <= 2.00 AND n15 > 64.00,toward LIKE,305,-0.1344,-0.5333,0.0941,0.2345,0.1626,0.3074,0.0005,,True
clash_le1 <= 2.00 AND c2_span > 8.00,toward LIKE,307,-0.1368,-0.5335,0.0938,0.2379,0.1613,0.3089,0.0005,,True
clash_ic1 <= 3.00 AND n14 > 61.00,toward LIKE,328,-0.1555,-0.5381,0.0926,0.2282,0.1629,0.2991,0.0005,,True
c2_span > 8.00 AND total_drift > -2.75,toward LIKE,319,-0.1505,-0.5343,0.0920,0.2304,0.1565,0.3041,0.0005,,True
clash_le1 <= 2.00 AND n14 > 61.00,toward LIKE,305,-0.1410,-0.5293,0.0916,0.2323,0.1601,0.2981,0.0005,,True
v1_drift > -3.00 AND c2_span > 8.00,toward LIKE,314,-0.1497,-0.5309,0.0909,0.2277,0.1616,0.2980,0.0005,,True
clash_le1 <= 2.00,toward LIKE,437,-0.2174,-0.5785,0.0895,0.2131,0.1430,0.2804,0.0005,,True
clash_le1 > 2.00,toward DISLIKE,363,-0.5785,-0.2174,-0.0895,-0.2131,-0.2811,-0.1428,0.0005,,True
clash_le1 <= 2.00 AND clash_ic1 <= 3.00,toward LIKE,396,-0.2045,-0.5545,0.0875,0.2043,0.1408,0.2703,0.0005,,True
clash_le1 > 2.00 AND clash_ic1 > 3.00,toward DISLIKE,264,-0.6402,-0.2537,-0.0854,-0.2325,-0.3058,-0.1608,0.0005,,True
clash_le1 <= 2.00 AND v3_leap <= 9.00,toward LIKE,205,-0.0537,-0.4941,0.0839,0.2594,0.1752,0.3414,0.0005,,True
clash_ic1 <= 3.00,toward LIKE,495,-0.2465,-0.6000,0.0834,0.2105,0.1465,0.2806,0.0005,,True
