feature,rho,perm_p,fdr_q,fwer_p,verdict,rho_split_discovery,rank_split_discovery,split_status,agreement,plain_english,aliases
clash_ic1,-0.25536,0.00010,0.00046,0.00010,real (strict),-0.28703,1,confirmed,both: real,semitone clashes,
clash_le1,-0.23939,0.00010,0.00046,0.00010,real (strict),-0.26321,2,confirmed,both: real,near-unison clashes (two notes less than a semitone apart),
max_voice_leap,-0.17677,0.00010,0.00046,0.00010,real (strict),-0.18825,3,"tested, failed",full-data only,the biggest single jump any voice makes between chords,
voice_leap_total,-0.16783,0.00010,0.00046,0.00020,real (strict),-0.17631,8,not shortlisted,full-data only,the total distance all four voices travel,
n14,0.16675,0.00010,0.00046,0.00020,real (strict),0.18574,4,confirmed,both: real,the final chord's 3rd note (pitch height),
n15,0.16611,0.00010,0.00046,0.00030,real (strict),0.18179,7,confirmed,both: real,the final chord's top note (pitch height),
c3_mean,0.15657,0.00010,0.00046,0.00070,real (strict),0.16645,13,not shortlisted,full-data only,the average pitch of the final chord,
n13,0.15636,0.00010,0.00046,0.00070,real (strict),0.16481,14,not shortlisted,full-data only,the final chord's 2nd note (pitch height),
v2_drift,0.15588,0.00010,0.00046,0.00080,real (strict),0.17097,10,not shortlisted,full-data only,the net rise or fall of the third voice,
abs_motion,-0.15560,0.00010,0.00046,0.00090,real (strict),-0.16717,12,not shortlisted,full-data only,the total distance the harmony travels in pitch,
v2_leap,-0.15466,0.00010,0.00046,0.00110,real (strict),-0.16912,11,not shortlisted,full-data only,the total distance the third voice travels,
clash_le2,-0.15154,0.00010,0.00046,0.00140,real (strict),-0.18457,5,"tested, failed",full-data only,close clashes (two notes within a whole tone),
mel_range,-0.15148,0.00010,0.00046,0.00140,real (strict),-0.17198,9,not shortlisted,full-data only,the pitch range covered by the top note,
v1_drift,0.14920,0.00010,0.00046,0.00180,real (strict),0.15937,16,not shortlisted,full-data only,the net rise or fall of the second-lowest voice,
