test,metric,value
feature_replication,rho_of_rhos,0.2833460851823515
feature_replication,p,0.004696024837252323
feature_replication,top20_sign_agreement,0.9
notsure_between,dislike_score,-2.7042423421570705
notsure_between,notsure_score,0.07471270417731037
notsure_between,like_score,2.8768393939752017
notsure_between,is_between,True
global_signal_heldout,cv_auc,0.6760103740103741
global_signal_heldout,null_mean,0.5012470405535733
global_signal_heldout,null_p,0.005
global_signal_heldout,n,701
global_signal_99,cv_auc,0.55
global_signal_99,null_mean,0.5056583282713936
global_signal_99,null_p,0.305
global_signal_99,n,99
octave,auc_raw_pitch,0.5806590226590227
octave,auc_pitch_class,0.5760393120393121
octave,n,701
merge_audit,same_ids,True
merge_audit,same_notes,True
merge_audit,identical_rows,99
merge_audit,n_chords,99
merge_audit,mean_pair_agreement,1.0
merge_audit,median_order_rho,0.04008039579468151
merge_audit,label_agreement_with_tabulated_chords,1.0
