feat,rho_99,p_99,rho_701,p_701,importance_99,plain_english
clash_ic1,-0.3389,0.0006,-0.2348,0.0000,0.0655,semitone clashes
c1_gap2,0.2616,0.0089,0.0261,0.4907,0.0223,the gap between the two highest notes of chord 2
clash_le1,-0.2575,0.0101,-0.2416,0.0000,0.0575,near-unison clashes (two notes less than a semitone apart)
pc_entropy,-0.2137,0.0337,-0.1414,0.0002,0.0317,how evenly the twelve pitches are used
pc_max,0.2119,0.0352,0.0858,0.0231,0.0032,repetitions of the single most-repeated pitch
pc_distinct,-0.2115,0.0356,-0.1451,0.0001,0.0006,"distinct pitches used, ignoring octave"
c2_pcspread,0.1862,0.0650,0.0374,0.3228,0.0229,how widely chord 3 spans within a single octave
c2_icmax,-0.1774,0.0789,0.0148,0.6953,0.0035,the harshest interval inside chord 3
c0_gap1,-0.1729,0.0870,0.0284,0.4531,0.0447,the gap between the 2nd and 3rd notes of chord 1
common2,-0.1633,0.1064,-0.0500,0.1858,0.0194,notes held over from chord 3 to chord 4
c1_std,0.1626,0.1077,0.0390,0.3027,0.0066,how spread-out the notes of chord 2 are
commonpc2,-0.1626,0.1079,-0.0777,0.0397,0.0028,pitches shared (ignoring octave) between chord 3 and chord 4
c2_icmin,0.1579,0.1185,0.0591,0.1182,0.0269,the most consonant interval inside chord 3
n7,0.1558,0.1237,0.0404,0.2852,0.0253,chord 2's top note (pitch height)
clash_le2,-0.1546,0.1265,-0.1543,0.0000,0.0089,close clashes (two notes within a whole tone)
c1_span,0.1445,0.1535,0.0431,0.2544,0.0201,"the spread of chord 2, lowest to highest note"
c0_gap0,0.1409,0.1642,0.0119,0.7521,0.0032,the gap between the two lowest notes of chord 1
n1,0.1409,0.1642,0.0119,0.7521,0.0090,chord 1's 2nd note (pitch height)
c2_gap1,0.1320,0.1926,0.0756,0.0455,0.0019,the gap between the 2nd and 3rd notes of chord 3
max_voice_leap,-0.1263,0.2130,-0.1836,0.0000,0.0014,the biggest single jump any voice makes between chords
c1_gap1,0.1231,0.2247,0.0038,0.9201,0.0087,the gap between the 2nd and 3rd notes of chord 2
abs_motion,-0.1217,0.2300,-0.1668,0.0000,0.0178,the total distance the harmony travels in pitch
v1_leap,-0.1178,0.2454,-0.1348,0.0003,0.0062,the total distance the second-lowest voice travels
c0_gap2,0.1150,0.2570,0.0146,0.6993,0.0024,the gap between the two highest notes of chord 1
c1_pcspread,0.1142,0.2606,-0.0307,0.4175,0.0195,how widely chord 2 spans within a single octave
c1_icmean,0.1139,0.2616,0.0235,0.5353,0.0067,the average harshness of the intervals inside chord 2
c3_gap0,-0.1138,0.2620,0.1358,0.0003,0.0420,the gap between the two lowest notes of the final chord
mel_range,-0.1129,0.2658,-0.1594,0.0000,0.0040,the pitch range covered by the top note
contrary_moves,0.1126,0.2673,0.0324,0.3916,0.0000,times the voices split and move in opposite directions
c3_pcspread,0.1105,0.2763,-0.0131,0.7300,0.0004,how widely the final chord spans within a single octave
c2_std,0.1094,0.2812,0.1380,0.0002,0.0049,how spread-out the notes of chord 3 are
common0,0.1093,0.2813,0.0525,0.1648,0.0000,notes held over from chord 1 to chord 2
mel_motion,-0.1065,0.2939,-0.1455,0.0001,0.0016,the total movement of the top note across the chords
v3_leap,-0.1065,0.2939,-0.1455,0.0001,0.0013,the total distance the top voice travels
v2_leap,-0.1064,0.2944,-0.1591,0.0000,0.0068,the total distance the third voice travels
c1_icmax,0.1061,0.2958,0.0038,0.9204,0.0005,the harshest interval inside chord 2
c1_gap0,-0.0971,0.3389,0.0488,0.1969,0.0217,the gap between the two lowest notes of chord 2
c2_span,0.0959,0.3448,0.1406,0.0002,0.0000,"the spread of chord 3, lowest to highest note"
c0_icmean,-0.0942,0.3538,-0.0369,0.3288,0.0140,the average harshness of the intervals inside chord 1
commonpc0,0.0913,0.3688,0.0075,0.8434,0.0008,pitches shared (ignoring octave) between chord 1 and chord 2
